customer_id,name,age,gender,city,phone,email
1,User_1,56,M,Delhi,+919572749050,user1@mail.com
2,User_2,69,M,Mumbai,+917571421228,user2@mail.com
3,User_3,46,M,Bangalore,+918822155752,user3@mail.com
4,User_4,32,F,Pune,+918497534269,user4@mail.com
5,User_5,60,M,Bangalore,+918588078400,user5@mail.com
6,User_6,25,M,Bangalore,+919313921877,user6@mail.com
7,User_7,78,M,Delhi,+918042485143,user7@mail.com
8,User_8,38,F,Mumbai,+918458569911,user8@mail.com
9,User_9,56,F,Delhi,+918023252586,user9@mail.com
10,User_10,75,M,Mumbai,+917251316826,user10@mail.com
11,User_11,36,F,Bangalore,+917655002739,user11@mail.com
12,User_12,40,F,Mumbai,+917698165321,user12@mail.com
13,User_13,28,M,Delhi,+919856749943,user13@mail.com
14,User_14,28,F,Pune,+919498461455,user14@mail.com
15,User_15,41,F,Delhi,+919329901569,user15@mail.com
16,User_16,70,M,Delhi,+919406198046,user16@mail.com
17,User_17,53,M,Delhi,+919818953792,user17@mail.com
18,User_18,57,F,Pune,+918124025239,user18@mail.com
19,User_19,41,M,Bangalore,+918150223850,user19@mail.com
20,User_20,20,M,Delhi,+919813804505,user20@mail.com
21,User_21,39,M,Delhi,+919458195729,user21@mail.com
22,User_22,70,F,Delhi,+918034756079,user22@mail.com
23,User_23,19,M,Pune,+918338751167,user23@mail.com
24,User_24,41,F,Pune,+917125931060,user24@mail.com
25,User_25,61,F,Pune,+917281954182,user25@mail.com
26,User_26,47,M,Bangalore,+918432036750,user26@mail.com
27,User_27,55,F,Mumbai,+918341759486,user27@mail.com
28,User_28,19,M,Bangalore,+917337924581,user28@mail.com
29,User_29,77,M,Bangalore,+917972535226,user29@mail.com
30,User_30,38,M,Bangalore,+919301672713,user30@mail.com
31,User_31,50,M,Mumbai,+918849434700,user31@mail.com
32,User_32,29,M,Delhi,+919764082407,user32@mail.com
33,User_33,75,F,Pune,+917685751988,user33@mail.com
34,User_34,39,F,Bangalore,+917215664262,user34@mail.com
